study_uid,peak_prob,raw_area_frac,cleaned_area_frac,border_contact_frac,triggers_area_fallback,triggers_border_fallback
00003933_000,1.0,0.6024,1.0,1.0,True,True
00003941_000,1.0,0.6019,1.0,1.0,True,True
00003945_006,1.0,0.6044,1.0,1.0,True,True
00003966_000,1.0,0.6141,1.0,1.0,True,True
00003967_000,1.0,0.6089,1.0,1.0,True,True
00003989_002,1.0,0.5555,1.0,1.0,True,True
00003990_016,1.0,0.5862,1.0,1.0,True,True
00004001_003,1.0,0.532,1.0,1.0,True,True
00004006_016,1.0,0.5893,1.0,1.0,True,True
00004006_049,1.0,0.5668,1.0,1.0,True,True
00004006_063,1.0,0.6209,1.0,1.0,True,True
00004020_000,1.0,0.6131,1.0,1.0,True,True
00004028_001,1.0,0.609,1.0,1.0,True,True
00004033_000,1.0,0.5874,1.0,1.0,True,True
00004079_000,1.0,0.6089,1.0,1.0,True,True
